iteracja,id_czastki,x,y,fitness
0,0,4.2073,1.0222,7.7000
0,1,4.8361,1.9850,7.7000
0,2,4.4470,2.3687,7.9800
0,3,3.5462,3.8344,-1000.0000
0,4,5.2038,1.4717,26.2100
0,5,4.0724,0.7977,24.6300
0,6,2.9774,0.9074,-1000.0000
0,7,5.4323,3.0931,-1000.0000
0,8,5.0127,1.4297,26.2100
0,9,4.2631,2.3335,7.9800
0,10,5.5367,1.5450,26.2100
0,11,3.2805,1.9254,-1000.0000
0,12,4.9860,0.6137,24.6300
0,13,2.4296,2.1986,-1000.0000
0,14,5.4104,3.0091,-1000.0000
0,15,4.3029,3.9059,-1000.0000
0,16,4.7135,2.7032,7.9800
0,17,4.4112,1.3818,7.7000
0,18,4.2928,1.2771,7.7000
0,19,4.8297,1.3392,7.7000
1,0,4.9188,0.9399,24.6300
1,1,4.6069,0.4931,24.6300
1,2,5.7344,1.1701,26.2100
1,3,3.9258,1.9993,-1000.0000
1,4,7.7505,1.5541,-1000000000.0000
1,5,5.9803,1.1311,26.2100
1,6,3.5656,0.8263,-1000.0000
1,7,5.3306,2.2873,8.2000
1,8,5.2995,-0.2887,25.0500
1,9,5.1492,0.5411,25.0500
1,10,6.4095,0.7924,25.2000
1,11,5.1126,1.5231,26.2100
1,12,5.1533,0.8888,25.0500
1,13,4.3808,2.1597,7.9800
1,14,5.6459,2.3513,8.2000
1,15,5.5908,1.4118,26.2100
1,16,5.3225,2.1126,8.2000
1,17,5.8162,1.2710,26.2100
1,18,5.1152,1.5938,26.2100
1,19,5.1750,1.2252,26.2100
2,0,5.3065,0.9219,25.0500
2,1,4.7923,0.2300,24.6300
2,2,6.2860,0.5569,25.2000
2,3,4.1544,3.6161,-1000.0000
2,4,7.5041,1.1322,-1000000000.0000
2,5,6.7274,1.2330,26.4000
2,6,2.5618,1.0888,-1000.0000
2,7,5.9749,0.9459,25.0500
2,8,5.3771,-0.3829,25.0500
2,9,6.4503,0.0487,25.2000
2,10,6.4591,1.1936,26.4000
2,11,6.8524,1.1922,26.4000
2,12,5.8770,1.3202,26.2100
2,13,7.1912,1.8691,-1000000000.0000
2,14,6.2617,1.0242,26.4000
2,15,6.5184,0.0649,25.2000
2,16,6.9229,1.0444,26.4000
2,17,6.6489,1.2082,26.4000
2,18,5.7635,1.6194,26.2100
2,19,6.3977,1.1741,26.4000
3,0,5.5998,1.1477,26.2100
3,1,6.5155,0.8396,25.2000
3,2,6.4022,0.8618,25.2000
3,3,4.8652,4.3937,-1000.0000
3,4,6.0099,1.1948,26.4000
3,5,7.1010,1.2839,-1000000000.0000
3,6,4.9873,1.2166,7.7000
3,7,6.3364,0.4260,25.2000
3,8,5.5388,1.6510,26.2100
3,9,7.1915,0.3152,-1000000000.0000
3,10,6.5697,1.4262,26.4000
3,11,7.6377,1.0286,-1000000000.0000
3,12,5.9946,1.2581,26.2100
3,13,7.9011,1.6243,-1000000000.0000
3,14,6.8189,0.3687,25.2000
3,15,6.5913,0.9804,25.2000
3,16,7.5581,0.6819,-1000000000.0000
3,17,7.0954,1.1921,-1000000000.0000
3,18,5.7455,1.4566,26.2100
3,19,7.3188,1.1650,-1000000000.0000
4,0,6.0943,1.2716,26.4000
4,1,7.3782,1.4275,-1000000000.0000
4,2,6.2794,1.2956,26.4000
4,3,5.2704,5.1562,-1000.0000
4,4,5.6368,1.2390,26.2100
4,5,6.7983,1.2297,26.4000
4,6,6.8732,1.2857,26.4000
4,7,6.7156,0.4437,25.2000
4,8,5.5502,2.1682,8.2000
4,9,6.9179,1.0495,26.4000
4,10,6.6420,1.1725,26.4000
4,11,6.7045,1.2792,26.4000
4,12,6.4970,1.1647,26.4000
4,13,6.7544,1.6122,26.4000
4,14,6.6866,0.9656,25.2000
4,15,6.3428,1.6041,26.4000
4,16,7.2011,0.7804,-1000000000.0000
4,17,6.7349,1.1915,26.4000
4,18,5.8105,1.2675,26.2100
4,19,7.3167,1.1943,-1000000000.0000
5,0,6.4360,1.3325,26.4000
5,1,7.1993,1.0035,-1000000000.0000
5,2,6.2664,1.4657,26.4000
5,3,3.5748,5.7713,-1000.0000
5,4,5.8920,1.2400,26.2100
5,5,6.5341,1.2050,26.4000
5,6,7.7575,1.2708,-1000000000.0000
5,7,6.8614,1.0673,26.4000
5,8,6.5447,1.3051,26.4000
5,9,6.6438,1.5551,26.4000
5,10,6.5580,1.1005,26.4000
5,11,6.3216,1.3239,26.4000
5,12,6.7818,1.1517,26.4000
5,13,6.1693,1.3393,26.4000
5,14,6.2985,1.5564,26.4000
5,15,6.5860,1.8880,26.4000
5,16,6.5140,1.1275,26.4000
5,17,6.5302,1.1962,26.4000
5,18,5.9912,1.4110,26.2100
5,19,6.9776,1.2237,26.4000
6,0,6.4237,1.3067,26.4000
6,1,6.3252,0.8645,25.2000
6,2,6.6685,1.3796,26.4000
6,3,2.7767,2.6603,-1000.0000
6,4,6.2096,1.2403,26.4000
6,5,6.4616,1.2170,26.4000
6,6,6.7114,1.2523,26.4000
6,7,6.9177,1.4165,26.4000
6,8,7.0829,0.8027,-1000000000.0000
6,9,6.8494,1.4132,26.4000
6,10,6.5843,1.2394,26.4000
6,11,6.3344,1.2212,26.4000
6,12,6.7521,1.2198,26.4000
6,13,6.6426,1.3509,26.4000
